id,date,duration,quality,consent,fomo_counterfactuals_1,fomo_counterfactuals_2,fomo_counterfactuals_3,fomo_counterfactuals_4,fomo_socialcomparison_1,fomo_socialcomparison_2,fomo_socialcomparison_3,fomo_socialcomparison_4,fomo_missedopportunities_1,fomo_missedopportunities_2,fomo_missedopportunities_3,fomo_missedopportunities_4,fomo_negativeaffect_1,fomo_negativeaffect_2,fomo_negativeaffect_3,fomo_negativeaffect_4,gender,age,sexuality,race,ethnicity,education,income
1767930154,8/12/20 21:41,441,I will provide my best answers,"Yes, I would like to participate in this research study",4,3,3,4,3,3,5,4,5,5,4,4,4,4,5,3,Male,34,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1786515573,8/14/20 10:39,511,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,4,4,5,4,5,5,5,5,4,4,5,5,4,5,Male,34,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$150,000 or more"
1371596213,8/14/20 9:33,703,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,4,3,4,4,4,4,3,3,3,3,4,3,3,Male,34,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1502414659,8/14/20 8:04,594,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,3,3,3,3,3,4,2,3,3,3,2,3,Female,42,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1699336900,8/14/20 11:08,328,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,Male,43,Heterosexual or straight,Black or African American,Not Hispanic,Master's degree,"$50,000 to $99,999"
1504441422,8/12/20 14:45,350,I will provide my best answers,"Yes, I would like to participate in this research study",5,4,5,4,4,5,1,3,4,3,3,3,3,3,4,3,Female,33,Heterosexual or straight,Asian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1786489197,8/14/20 8:47,589,I will provide my best answers,"Yes, I would like to participate in this research study",3,5,4,5,5,4,4,3,4,4,4,4,5,5,5,4,Male,29,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1504138204,8/14/20 7:34,455,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,Male,46,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$150,000 or more"
1503152875,8/12/20 14:55,1648,I will provide my best answers,"Yes, I would like to participate in this research study",4,3,2,3,2,2,2,3,4,3,1,3,1,4,1,2,Female,29,Heterosexual or straight,Black or African American,Not Hispanic,Master's degree,"$50,000 to $99,999"
1502097317,8/14/20 8:19,269,I will provide my best answers,"Yes, I would like to participate in this research study",4,4,3,4,3,1,2,3,5,1,3,3,4,2,3,4,Female,28,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$50,000 to $99,999"
1786477814,8/14/20 8:19,532,I will provide my best answers,"Yes, I would like to participate in this research study",5,3,1,2,2,3,1,2,3,2,2,3,1,2,1,1,Male,40,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1504846390,8/12/20 18:41,944,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,1,3,2,2,1,1,2,2,1,2,1,3,2,2,Female,37,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$150,000 or more"
1505877569,8/14/20 7:58,226,I will provide my best answers,"Yes, I would like to participate in this research study",3,2,3,2,3,3,2,3,3,2,2,2,2,4,3,2,Male,35,Bisexual,White or Caucasian,Not Hispanic,Master's degree,"$10,000 to $49,999"
1699968651,8/14/20 8:19,398,I will provide my best answers,"Yes, I would like to participate in this research study",5,4,4,3,4,5,4,4,5,5,4,5,5,4,5,5,Male,37,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1786458759,8/14/20 11:37,2276,I will provide my best answers,"Yes, I would like to participate in this research study",4,4,4,4,4,5,3,4,3,4,3,4,4,4,5,4,Male,32,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$50,000 to $99,999"
1751111894,8/14/20 8:57,1828,I will provide my best answers,"Yes, I would like to participate in this research study",5,3,4,5,4,3,4,5,4,3,3,5,5,4,4,5,Male,49,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1751197404,8/12/20 15:51,844,I will provide my best answers,"Yes, I would like to participate in this research study",3,4,3,3,3,3,2,3,4,4,2,4,3,3,2,3,Male,34,Heterosexual or straight,White or Caucasian,Hispanic,Master's degree,"$100,000 to $149,999"
1759925221,8/14/20 9:21,570,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,4,4,5,5,5,4,5,5,4,4,5,4,4,5,Male,41,Heterosexual or straight,White or Caucasian,Hispanic,Master's degree,"$100,000 to $149,999"
1764548023,8/12/20 14:33,323,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,3,3,5,4,3,2,3,5,3,5,5,3,3,2,Male,35,Heterosexual or straight,Asian,Not Hispanic,Professional degree,"$150,000 or more"
1503520455,8/14/20 9:04,805,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Prefer not to say,35,Prefer not to say,White or Caucasian,Not Hispanic,Professional degree,"$100,000 to $149,999"
1505227134,8/12/20 15:44,442,I will provide my best answers,"Yes, I would like to participate in this research study",5,2,3,4,3,4,4,2,5,3,5,5,3,4,4,4,Prefer not to say,21,Prefer not to say,-99,Not Hispanic,Professional degree,"$150,000 or more"
1659012358,8/14/20 10:35,1047,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,1,3,2,1,1,1,2,2,1,2,2,1,1,1,Male,43,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$10,000 to $49,999"
1626311135,8/14/20 10:30,513,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,1,2,2,3,3,1,4,3,1,4,2,3,1,2,Male,25,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$100,000 to $149,999"
1763403498,8/12/20 16:38,408,I will provide my best answers,"Yes, I would like to participate in this research study",4,3,3,5,4,4,5,4,4,3,4,3,3,4,4,4,Female,21,Heterosexual or straight,Asian,Not Hispanic,Some college but no degree,"$10,000 to $49,999"
1329369792,8/14/20 8:00,708,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,3,2,3,2,2,2,3,3,1,3,2,3,3,3,Female,36,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$10,000 to $49,999"
1504506739,8/12/20 20:59,758,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,3,3,3,3,2,3,2,2,2,3,2,2,3,2,Male,48,Homosexual,White or Caucasian,Not Hispanic,Some college but no degree,"$100,000 to $149,999"
1512944813,8/14/20 10:25,289,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,4,1,2,3,3,2,2,5,3,3,3,4,Female,23,Heterosexual or straight,Black or African American,Not Hispanic,Some college but no degree,"Less than $10,000"
1504074839,8/12/20 18:21,7212,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,4,3,5,5,3,1,3,2,3,3,5,3,4,4,Female,34,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$100,000 to $149,999"
1504492041,8/12/20 17:27,669,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,3,3,3,2,3,3,3,2,2,3,2,3,2,2,Female,42,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$50,000 to $99,999"
1502036986,8/14/20 8:46,347,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,Female,35,Heterosexual or straight,American Indian or Alaska Native,Hispanic,Some college but no degree,"$10,000 to $49,999"
1786497046,8/14/20 8:50,253,I will provide my best answers,"Yes, I would like to participate in this research study",3,2,3,5,3,2,1,3,3,2,4,3,5,2,3,2,Male,39,Heterosexual or straight,White or Caucasian,Hispanic,Some college but no degree,"$10,000 to $49,999"
1505994214,8/14/20 11:25,322,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Male,38,Heterosexual or straight,Black or African American,Hispanic,Some college but no degree,"$50,000 to $99,999"
